Vivado Simulator 2020.2
Time resolution is 1 ps
[DRV] reset done
           104255000: [GEN_RANDOM] tx_byte = 0a, rx_byte = 00
        419869055000: [DRV] tx_byte = b2, rx_byte = 00
        420865095000: [MON] tx_byte = 00, rx_byte = ae
        420865095000: [SCB PASS] expected = ae, actual = ae, q_size = 0
        420865095000: [SCB QUEUE PUSH] expected_q push = b2, size = 1
        420910655000: [DRV] tx_byte = 96, rx_byte = 00
        421906695000: [MON] tx_byte = 00, rx_byte = b2
        421906695000: [SCB PASS] expected = b2, actual = b2, q_size = 0
        421906695000: [SCB QUEUE PUSH] expected_q push = 96, size = 1
        421952255000: [DRV] tx_byte = de, rx_byte = 00
        422948295000: [MON] tx_byte = 00, rx_byte = 96
        422948295000: [SCB PASS] expected = 96, actual = 96, q_size = 0
        422948295000: [SCB QUEUE PUSH] expected_q push = de, size = 1
        422993855000: [DRV] tx_byte = d9, rx_byte = 00
        423989895000: [MON] tx_byte = 00, rx_byte = de
        423989895000: [SCB PASS] expected = de, actual = de, q_size = 0
        423989895000: [SCB QUEUE PUSH] expected_q push = d9, size = 1
        424035455000: [DRV] tx_byte = 07, rx_byte = 00
        425031495000: [MON] tx_byte = 00, rx_byte = d9
        425031495000: [SCB PASS] expected = d9, actual = d9, q_size = 0
        425031495000: [SCB QUEUE PUSH] expected_q push = 07, size = 1
        425077055000: [DRV] tx_byte = 56, rx_byte = 00
        426073095000: [MON] tx_byte = 00, rx_byte = 07
        426073095000: [SCB PASS] expected = 07, actual = 07, q_size = 0
        426073095000: [SCB QUEUE PUSH] expected_q push = 56, size = 1
        426118655000: [DRV] tx_byte = d1, rx_byte = 00
        427114695000: [MON] tx_byte = 00, rx_byte = 56
        427114695000: [SCB PASS] expected = 56, actual = 56, q_size = 0
        427114695000: [SCB QUEUE PUSH] expected_q push = d1, size = 1
        427160255000: [DRV] tx_byte = f6, rx_byte = 00
        428156295000: [MON] tx_byte = 00, rx_byte = d1
        428156295000: [SCB PASS] expected = d1, actual = d1, q_size = 0
        428156295000: [SCB QUEUE PUSH] expected_q push = f6, size = 1
        428201855000: [DRV] tx_byte = 20, rx_byte = 00
        429197895000: [MON] tx_byte = 00, rx_byte = f6
        429197895000: [SCB PASS] expected = f6, actual = f6, q_size = 0
        429197895000: [SCB QUEUE PUSH] expected_q push = 20, size = 1
        429243455000: [DRV] tx_byte = 3a, rx_byte = 00
        430239495000: [MON] tx_byte = 00, rx_byte = 20
        430239495000: [SCB PASS] expected = 20, actual = 20, q_size = 0
        430239495000: [SCB QUEUE PUSH] expected_q push = 3a, size = 1
        430285055000: [DRV] tx_byte = 55, rx_byte = 00
        431281095000: [MON] tx_byte = 00, rx_byte = 3a
        431281095000: [SCB PASS] expected = 3a, actual = 3a, q_size = 0
        431281095000: [SCB QUEUE PUSH] expected_q push = 55, size = 1
        431326655000: [DRV] tx_byte = 6f, rx_byte = 00
        432322695000: [MON] tx_byte = 00, rx_byte = 55
        432322695000: [SCB PASS] expected = 55, actual = 55, q_size = 0
        432322695000: [SCB QUEUE PUSH] expected_q push = 6f, size = 1
        432368255000: [DRV] tx_byte = c4, rx_byte = 00
        433364295000: [MON] tx_byte = 00, rx_byte = 6f
        433364295000: [SCB PASS] expected = 6f, actual = 6f, q_size = 0
        433364295000: [SCB QUEUE PUSH] expected_q push = c4, size = 1
        433409855000: [DRV] tx_byte = 76, rx_byte = 00
        434405895000: [MON] tx_byte = 00, rx_byte = c4
        434405895000: [SCB PASS] expected = c4, actual = c4, q_size = 0
        434405895000: [SCB QUEUE PUSH] expected_q push = 76, size = 1
        434451455000: [DRV] tx_byte = b0, rx_byte = 00
        435447495000: [MON] tx_byte = 00, rx_byte = 76
        435447495000: [SCB PASS] expected = 76, actual = 76, q_size = 0
        435447495000: [SCB QUEUE PUSH] expected_q push = b0, size = 1
        435493055000: [DRV] tx_byte = 48, rx_byte = 00
        436489095000: [MON] tx_byte = 00, rx_byte = b0
        436489095000: [SCB PASS] expected = b0, actual = b0, q_size = 0
        436489095000: [SCB QUEUE PUSH] expected_q push = 48, size = 1
        436534655000: [DRV] tx_byte = ad, rx_byte = 00
        437530695000: [MON] tx_byte = 00, rx_byte = 48
        437530695000: [SCB PASS] expected = 48, actual = 48, q_size = 0
        437530695000: [SCB QUEUE PUSH] expected_q push = ad, size = 1
        437576255000: [DRV] tx_byte = 3c, rx_byte = 00
        438572295000: [MON] tx_byte = 00, rx_byte = ad
        438572295000: [SCB PASS] expected = ad, actual = ad, q_size = 0
        438572295000: [SCB QUEUE PUSH] expected_q push = 3c, size = 1
        438617855000: [DRV] tx_byte = e1, rx_byte = 00
        439613895000: [MON] tx_byte = 00, rx_byte = 3c
        439613895000: [SCB PASS] expected = 3c, actual = 3c, q_size = 0
        439613895000: [SCB QUEUE PUSH] expected_q push = e1, size = 1
        439659455000: [DRV] tx_byte = e4, rx_byte = 00
        440655495000: [MON] tx_byte = 00, rx_byte = e1
        440655495000: [SCB PASS] expected = e1, actual = e1, q_size = 0
        440655495000: [SCB QUEUE PUSH] expected_q push = e4, size = 1
        440701055000: [DRV] tx_byte = 08, rx_byte = 00
        441697095000: [MON] tx_byte = 00, rx_byte = e4
        441697095000: [SCB PASS] expected = e4, actual = e4, q_size = 0
        441697095000: [SCB QUEUE PUSH] expected_q push = 08, size = 1
        441742655000: [DRV] tx_byte = f2, rx_byte = 00
        442738695000: [MON] tx_byte = 00, rx_byte = 08
        442738695000: [SCB PASS] expected = 08, actual = 08, q_size = 0
        442738695000: [SCB QUEUE PUSH] expected_q push = f2, size = 1
        442784255000: [DRV] tx_byte = 4f, rx_byte = 00
        443780295000: [MON] tx_byte = 00, rx_byte = f2
        443780295000: [SCB PASS] expected = f2, actual = f2, q_size = 0
        443780295000: [SCB QUEUE PUSH] expected_q push = 4f, size = 1
        443825855000: [DRV] tx_byte = 0a, rx_byte = 00
        444821895000: [MON] tx_byte = 00, rx_byte = 4f
        444821895000: [SCB PASS] expected = 4f, actual = 4f, q_size = 0
        444821895000: [SCB QUEUE PUSH] expected_q push = 0a, size = 1
        444867455000: [DRV] tx_byte = 89, rx_byte = 00
        445863495000: [MON] tx_byte = 00, rx_byte = 0a
        445863495000: [SCB PASS] expected = 0a, actual = 0a, q_size = 0
        445863495000: [SCB QUEUE PUSH] expected_q push = 89, size = 1
        445909055000: [DRV] tx_byte = 80, rx_byte = 00
        446905095000: [MON] tx_byte = 00, rx_byte = 89
        446905095000: [SCB PASS] expected = 89, actual = 89, q_size = 0
        446905095000: [SCB QUEUE PUSH] expected_q push = 80, size = 1
        446950655000: [DRV] tx_byte = 1d, rx_byte = 00
        447946695000: [MON] tx_byte = 00, rx_byte = 80
        447946695000: [SCB PASS] expected = 80, actual = 80, q_size = 0
        447946695000: [SCB QUEUE PUSH] expected_q push = 1d, size = 1
        447992255000: [DRV] tx_byte = d3, rx_byte = 00
        448988295000: [MON] tx_byte = 00, rx_byte = 1d
        448988295000: [SCB PASS] expected = 1d, actual = 1d, q_size = 0
        448988295000: [SCB QUEUE PUSH] expected_q push = d3, size = 1
        449033855000: [DRV] tx_byte = c9, rx_byte = 00
        450029895000: [MON] tx_byte = 00, rx_byte = d3
        450029895000: [SCB PASS] expected = d3, actual = d3, q_size = 0
        450029895000: [SCB QUEUE PUSH] expected_q push = c9, size = 1
        450075455000: [DRV] tx_byte = e7, rx_byte = 00
        451071495000: [MON] tx_byte = 00, rx_byte = c9
        451071495000: [SCB PASS] expected = c9, actual = c9, q_size = 0
        451071495000: [SCB QUEUE PUSH] expected_q push = e7, size = 1
        451117055000: [DRV] tx_byte = 19, rx_byte = 00
        452113095000: [MON] tx_byte = 00, rx_byte = e7
        452113095000: [SCB PASS] expected = e7, actual = e7, q_size = 0
        452113095000: [SCB QUEUE PUSH] expected_q push = 19, size = 1
        452158655000: [DRV] tx_byte = 93, rx_byte = 00
        453154695000: [MON] tx_byte = 00, rx_byte = 19
        453154695000: [SCB PASS] expected = 19, actual = 19, q_size = 0
        453154695000: [SCB QUEUE PUSH] expected_q push = 93, size = 1
        453200255000: [DRV] tx_byte = bc, rx_byte = 00
        454196295000: [MON] tx_byte = 00, rx_byte = 93
        454196295000: [SCB PASS] expected = 93, actual = 93, q_size = 0
        454196295000: [SCB QUEUE PUSH] expected_q push = bc, size = 1
        454241855000: [DRV] tx_byte = a3, rx_byte = 00
        455237895000: [MON] tx_byte = 00, rx_byte = bc
        455237895000: [SCB PASS] expected = bc, actual = bc, q_size = 0
        455237895000: [SCB QUEUE PUSH] expected_q push = a3, size = 1
        455283455000: [DRV] tx_byte = e6, rx_byte = 00
        456279495000: [MON] tx_byte = 00, rx_byte = a3
        456279495000: [SCB PASS] expected = a3, actual = a3, q_size = 0
        456279495000: [SCB QUEUE PUSH] expected_q push = e6, size = 1
        456325055000: [DRV] tx_byte = ea, rx_byte = 00
        457321095000: [MON] tx_byte = 00, rx_byte = e6
        457321095000: [SCB PASS] expected = e6, actual = e6, q_size = 0
        457321095000: [SCB QUEUE PUSH] expected_q push = ea, size = 1
        457366655000: [DRV] tx_byte = da, rx_byte = 00
        458362695000: [MON] tx_byte = 00, rx_byte = ea
        458362695000: [SCB PASS] expected = ea, actual = ea, q_size = 0
        458362695000: [SCB QUEUE PUSH] expected_q push = da, size = 1
        458408255000: [DRV] tx_byte = 30, rx_byte = 00
        459404295000: [MON] tx_byte = 00, rx_byte = da
        459404295000: [SCB PASS] expected = da, actual = da, q_size = 0
        459404295000: [SCB QUEUE PUSH] expected_q push = 30, size = 1
        459449855000: [DRV] tx_byte = b1, rx_byte = 00
        460445895000: [MON] tx_byte = 00, rx_byte = 30
        460445895000: [SCB PASS] expected = 30, actual = 30, q_size = 0
        460445895000: [SCB QUEUE PUSH] expected_q push = b1, size = 1
        460491455000: [DRV] tx_byte = e2, rx_byte = 00
        461487495000: [MON] tx_byte = 00, rx_byte = b1
        461487495000: [SCB PASS] expected = b1, actual = b1, q_size = 0
        461487495000: [SCB QUEUE PUSH] expected_q push = e2, size = 1
        461533055000: [DRV] tx_byte = 5a, rx_byte = 00
        462529095000: [MON] tx_byte = 00, rx_byte = e2
        462529095000: [SCB PASS] expected = e2, actual = e2, q_size = 0
        462529095000: [SCB QUEUE PUSH] expected_q push = 5a, size = 1
        462574655000: [DRV] tx_byte = b8, rx_byte = 00
        463570695000: [MON] tx_byte = 00, rx_byte = 5a
        463570695000: [SCB PASS] expected = 5a, actual = 5a, q_size = 0
        463570695000: [SCB QUEUE PUSH] expected_q push = b8, size = 1
        463616255000: [DRV] tx_byte = 23, rx_byte = 00
        464612295000: [MON] tx_byte = 00, rx_byte = b8
        464612295000: [SCB PASS] expected = b8, actual = b8, q_size = 0
        464612295000: [SCB QUEUE PUSH] expected_q push = 23, size = 1
        464657855000: [DRV] tx_byte = 61, rx_byte = 00
        465653895000: [MON] tx_byte = 00, rx_byte = 23
        465653895000: [SCB PASS] expected = 23, actual = 23, q_size = 0
        465653895000: [SCB QUEUE PUSH] expected_q push = 61, size = 1
        465699455000: [DRV] tx_byte = 80, rx_byte = 00
        466695495000: [MON] tx_byte = 00, rx_byte = 61
        466695495000: [SCB PASS] expected = 61, actual = 61, q_size = 0
        466695495000: [SCB QUEUE PUSH] expected_q push = 80, size = 1
        466741055000: [DRV] tx_byte = 07, rx_byte = 00
        467737095000: [MON] tx_byte = 00, rx_byte = 80
        467737095000: [SCB PASS] expected = 80, actual = 80, q_size = 0
        467737095000: [SCB QUEUE PUSH] expected_q push = 07, size = 1
        467782655000: [DRV] tx_byte = b9, rx_byte = 00
        468778695000: [MON] tx_byte = 00, rx_byte = 07
        468778695000: [SCB PASS] expected = 07, actual = 07, q_size = 0
        468778695000: [SCB QUEUE PUSH] expected_q push = b9, size = 1
        468824255000: [DRV] tx_byte = 0c, rx_byte = 00
        469820295000: [MON] tx_byte = 00, rx_byte = b9
        469820295000: [SCB PASS] expected = b9, actual = b9, q_size = 0
        469820295000: [SCB QUEUE PUSH] expected_q push = 0c, size = 1
        469865855000: [DRV] tx_byte = 45, rx_byte = 00
        470861895000: [MON] tx_byte = 00, rx_byte = 0c
        470861895000: [SCB PASS] expected = 0c, actual = 0c, q_size = 0
        470861895000: [SCB QUEUE PUSH] expected_q push = 45, size = 1
        470907455000: [DRV] tx_byte = 23, rx_byte = 00
        471903495000: [MON] tx_byte = 00, rx_byte = 45
        471903495000: [SCB PASS] expected = 45, actual = 45, q_size = 0
        471903495000: [SCB QUEUE PUSH] expected_q push = 23, size = 1
        471949055000: [DRV] tx_byte = ba, rx_byte = 00
        472945095000: [MON] tx_byte = 00, rx_byte = 23
        472945095000: [SCB PASS] expected = 23, actual = 23, q_size = 0
        472945095000: [SCB QUEUE PUSH] expected_q push = ba, size = 1
        472990655000: [DRV] tx_byte = 0d, rx_byte = 00
        473986695000: [MON] tx_byte = 00, rx_byte = ba
        473986695000: [SCB PASS] expected = ba, actual = ba, q_size = 0
        473986695000: [SCB QUEUE PUSH] expected_q push = 0d, size = 1
        474032255000: [DRV] tx_byte = ba, rx_byte = 00
        475028295000: [MON] tx_byte = 00, rx_byte = 0d
        475028295000: [SCB PASS] expected = 0d, actual = 0d, q_size = 0
        475028295000: [SCB QUEUE PUSH] expected_q push = ba, size = 1
        475073855000: [DRV] tx_byte = e4, rx_byte = 00
        476069895000: [MON] tx_byte = 00, rx_byte = ba
        476069895000: [SCB PASS] expected = ba, actual = ba, q_size = 0
        476069895000: [SCB QUEUE PUSH] expected_q push = e4, size = 1
        476115455000: [DRV] tx_byte = 8b, rx_byte = 00
        477111495000: [MON] tx_byte = 00, rx_byte = e4
        477111495000: [SCB PASS] expected = e4, actual = e4, q_size = 0
        477111495000: [SCB QUEUE PUSH] expected_q push = 8b, size = 1
        477157055000: [DRV] tx_byte = 11, rx_byte = 00
        478153095000: [MON] tx_byte = 00, rx_byte = 8b
        478153095000: [SCB PASS] expected = 8b, actual = 8b, q_size = 0
        478153095000: [SCB QUEUE PUSH] expected_q push = 11, size = 1
        478198655000: [DRV] tx_byte = 3d, rx_byte = 00
        479194695000: [MON] tx_byte = 00, rx_byte = 11
        479194695000: [SCB PASS] expected = 11, actual = 11, q_size = 0
        479194695000: [SCB QUEUE PUSH] expected_q push = 3d, size = 1
        479240255000: [DRV] tx_byte = 86, rx_byte = 00
        480236295000: [MON] tx_byte = 00, rx_byte = 3d
        480236295000: [SCB PASS] expected = 3d, actual = 3d, q_size = 0
        480236295000: [SCB QUEUE PUSH] expected_q push = 86, size = 1
        480281855000: [DRV] tx_byte = 6e, rx_byte = 00
        481277895000: [MON] tx_byte = 00, rx_byte = 86
        481277895000: [SCB PASS] expected = 86, actual = 86, q_size = 0
        481277895000: [SCB QUEUE PUSH] expected_q push = 6e, size = 1
        481323455000: [DRV] tx_byte = ef, rx_byte = 00
        482319495000: [MON] tx_byte = 00, rx_byte = 6e
        482319495000: [SCB PASS] expected = 6e, actual = 6e, q_size = 0
        482319495000: [SCB QUEUE PUSH] expected_q push = ef, size = 1
        482365055000: [DRV] tx_byte = 84, rx_byte = 00
        483361095000: [MON] tx_byte = 00, rx_byte = ef
        483361095000: [SCB PASS] expected = ef, actual = ef, q_size = 0
        483361095000: [SCB QUEUE PUSH] expected_q push = 84, size = 1
        483406655000: [DRV] tx_byte = 3a, rx_byte = 00
        484402695000: [MON] tx_byte = 00, rx_byte = 84
        484402695000: [SCB PASS] expected = 84, actual = 84, q_size = 0
        484402695000: [SCB QUEUE PUSH] expected_q push = 3a, size = 1
        484448255000: [DRV] tx_byte = 72, rx_byte = 00
        485444295000: [MON] tx_byte = 00, rx_byte = 3a
        485444295000: [SCB PASS] expected = 3a, actual = 3a, q_size = 0
        485444295000: [SCB QUEUE PUSH] expected_q push = 72, size = 1
        485489855000: [DRV] tx_byte = 0e, rx_byte = 00
        486485895000: [MON] tx_byte = 00, rx_byte = 72
        486485895000: [SCB PASS] expected = 72, actual = 72, q_size = 0
        486485895000: [SCB QUEUE PUSH] expected_q push = 0e, size = 1
        486531455000: [DRV] tx_byte = f9, rx_byte = 00
        487527495000: [MON] tx_byte = 00, rx_byte = 0e
        487527495000: [SCB PASS] expected = 0e, actual = 0e, q_size = 0
        487527495000: [SCB QUEUE PUSH] expected_q push = f9, size = 1
        487573055000: [DRV] tx_byte = 34, rx_byte = 00
        488569095000: [MON] tx_byte = 00, rx_byte = f9
        488569095000: [SCB PASS] expected = f9, actual = f9, q_size = 0
        488569095000: [SCB QUEUE PUSH] expected_q push = 34, size = 1
        488614655000: [DRV] tx_byte = 39, rx_byte = 00
        489610695000: [MON] tx_byte = 00, rx_byte = 34
        489610695000: [SCB PASS] expected = 34, actual = 34, q_size = 0
        489610695000: [SCB QUEUE PUSH] expected_q push = 39, size = 1
        489656255000: [DRV] tx_byte = a9, rx_byte = 00
        490652295000: [MON] tx_byte = 00, rx_byte = 39
        490652295000: [SCB PASS] expected = 39, actual = 39, q_size = 0
        490652295000: [SCB QUEUE PUSH] expected_q push = a9, size = 1
        490697855000: [DRV] tx_byte = 7b, rx_byte = 00
        491693895000: [MON] tx_byte = 00, rx_byte = a9
        491693895000: [SCB PASS] expected = a9, actual = a9, q_size = 0
        491693895000: [SCB QUEUE PUSH] expected_q push = 7b, size = 1
        491739455000: [DRV] tx_byte = 11, rx_byte = 00
        492735495000: [MON] tx_byte = 00, rx_byte = 7b
        492735495000: [SCB PASS] expected = 7b, actual = 7b, q_size = 0
        492735495000: [SCB QUEUE PUSH] expected_q push = 11, size = 1
        492781055000: [DRV] tx_byte = f7, rx_byte = 00
        493777095000: [MON] tx_byte = 00, rx_byte = 11
        493777095000: [SCB PASS] expected = 11, actual = 11, q_size = 0
        493777095000: [SCB QUEUE PUSH] expected_q push = f7, size = 1
        493822655000: [DRV] tx_byte = ae, rx_byte = 00
        494818695000: [MON] tx_byte = 00, rx_byte = f7
        494818695000: [SCB PASS] expected = f7, actual = f7, q_size = 0
        494818695000: [SCB QUEUE PUSH] expected_q push = ae, size = 1
        494864255000: [DRV] tx_byte = 79, rx_byte = 00
        495860295000: [MON] tx_byte = 00, rx_byte = ae
        495860295000: [SCB PASS] expected = ae, actual = ae, q_size = 0
        495860295000: [SCB QUEUE PUSH] expected_q push = 79, size = 1
        495905855000: [DRV] tx_byte = 7c, rx_byte = 00
        496901895000: [MON] tx_byte = 00, rx_byte = 79
        496901895000: [SCB PASS] expected = 79, actual = 79, q_size = 0
        496901895000: [SCB QUEUE PUSH] expected_q push = 7c, size = 1
        496947455000: [DRV] tx_byte = b7, rx_byte = 00
        497943495000: [MON] tx_byte = 00, rx_byte = 7c
        497943495000: [SCB PASS] expected = 7c, actual = 7c, q_size = 0
        497943495000: [SCB QUEUE PUSH] expected_q push = b7, size = 1
        497989055000: [DRV] tx_byte = 4b, rx_byte = 00
        498985095000: [MON] tx_byte = 00, rx_byte = b7
        498985095000: [SCB PASS] expected = b7, actual = b7, q_size = 0
        498985095000: [SCB QUEUE PUSH] expected_q push = 4b, size = 1
        499030655000: [DRV] tx_byte = b5, rx_byte = 00
        500026695000: [MON] tx_byte = 00, rx_byte = 4b
        500026695000: [SCB PASS] expected = 4b, actual = 4b, q_size = 0
        500026695000: [SCB QUEUE PUSH] expected_q push = b5, size = 1
        500072255000: [DRV] tx_byte = e2, rx_byte = 00
        501068295000: [MON] tx_byte = 00, rx_byte = b5
        501068295000: [SCB PASS] expected = b5, actual = b5, q_size = 0
        501068295000: [SCB QUEUE PUSH] expected_q push = e2, size = 1
        501113855000: [DRV] tx_byte = 72, rx_byte = 00
        502109895000: [MON] tx_byte = 00, rx_byte = e2
        502109895000: [SCB PASS] expected = e2, actual = e2, q_size = 0
        502109895000: [SCB QUEUE PUSH] expected_q push = 72, size = 1
        502155455000: [DRV] tx_byte = 93, rx_byte = 00
        503151495000: [MON] tx_byte = 00, rx_byte = 72
        503151495000: [SCB PASS] expected = 72, actual = 72, q_size = 0
        503151495000: [SCB QUEUE PUSH] expected_q push = 93, size = 1
        503197055000: [DRV] tx_byte = cd, rx_byte = 00
        504193095000: [MON] tx_byte = 00, rx_byte = 93
        504193095000: [SCB PASS] expected = 93, actual = 93, q_size = 0
        504193095000: [SCB QUEUE PUSH] expected_q push = cd, size = 1
        504238655000: [DRV] tx_byte = 80, rx_byte = 00
        505234695000: [MON] tx_byte = 00, rx_byte = cd
        505234695000: [SCB PASS] expected = cd, actual = cd, q_size = 0
        505234695000: [SCB QUEUE PUSH] expected_q push = 80, size = 1
        505280255000: [DRV] tx_byte = 68, rx_byte = 00
        506276295000: [MON] tx_byte = 00, rx_byte = 80
        506276295000: [SCB PASS] expected = 80, actual = 80, q_size = 0
        506276295000: [SCB QUEUE PUSH] expected_q push = 68, size = 1
        506321855000: [DRV] tx_byte = db, rx_byte = 00
        507317895000: [MON] tx_byte = 00, rx_byte = 68
        507317895000: [SCB PASS] expected = 68, actual = 68, q_size = 0
        507317895000: [SCB QUEUE PUSH] expected_q push = db, size = 1
        507363455000: [DRV] tx_byte = d0, rx_byte = 00
        508359495000: [MON] tx_byte = 00, rx_byte = db
        508359495000: [SCB PASS] expected = db, actual = db, q_size = 0
        508359495000: [SCB QUEUE PUSH] expected_q push = d0, size = 1
        508405055000: [DRV] tx_byte = f4, rx_byte = 00
        509401095000: [MON] tx_byte = 00, rx_byte = d0
        509401095000: [SCB PASS] expected = d0, actual = d0, q_size = 0
        509401095000: [SCB QUEUE PUSH] expected_q push = f4, size = 1
        509446655000: [DRV] tx_byte = dc, rx_byte = 00
        510442695000: [MON] tx_byte = 00, rx_byte = f4
        510442695000: [SCB PASS] expected = f4, actual = f4, q_size = 0
        510442695000: [SCB QUEUE PUSH] expected_q push = dc, size = 1
        510488255000: [DRV] tx_byte = a3, rx_byte = 00
        511484295000: [MON] tx_byte = 00, rx_byte = dc
        511484295000: [SCB PASS] expected = dc, actual = dc, q_size = 0
        511484295000: [SCB QUEUE PUSH] expected_q push = a3, size = 1
        511529855000: [DRV] tx_byte = d3, rx_byte = 00
        512525895000: [MON] tx_byte = 00, rx_byte = a3
        512525895000: [SCB PASS] expected = a3, actual = a3, q_size = 0
        512525895000: [SCB QUEUE PUSH] expected_q push = d3, size = 1
        512571455000: [DRV] tx_byte = 83, rx_byte = 00
        513567495000: [MON] tx_byte = 00, rx_byte = d3
        513567495000: [SCB PASS] expected = d3, actual = d3, q_size = 0
        513567495000: [SCB QUEUE PUSH] expected_q push = 83, size = 1
        513613055000: [DRV] tx_byte = ee, rx_byte = 00
        514609095000: [MON] tx_byte = 00, rx_byte = 83
        514609095000: [SCB PASS] expected = 83, actual = 83, q_size = 0
        514609095000: [SCB QUEUE PUSH] expected_q push = ee, size = 1
        514654655000: [DRV] tx_byte = ec, rx_byte = 00
        515650695000: [MON] tx_byte = 00, rx_byte = ee
        515650695000: [SCB PASS] expected = ee, actual = ee, q_size = 0
        515650695000: [SCB QUEUE PUSH] expected_q push = ec, size = 1
        515696255000: [DRV] tx_byte = e8, rx_byte = 00
        516692295000: [MON] tx_byte = 00, rx_byte = ec
        516692295000: [SCB PASS] expected = ec, actual = ec, q_size = 0
        516692295000: [SCB QUEUE PUSH] expected_q push = e8, size = 1
        516737855000: [DRV] tx_byte = 0b, rx_byte = 00
        517733895000: [MON] tx_byte = 00, rx_byte = e8
        517733895000: [SCB PASS] expected = e8, actual = e8, q_size = 0
        517733895000: [SCB QUEUE PUSH] expected_q push = 0b, size = 1
        517779455000: [DRV] tx_byte = de, rx_byte = 00
        518775495000: [MON] tx_byte = 00, rx_byte = 0b
        518775495000: [SCB PASS] expected = 0b, actual = 0b, q_size = 0
        518775495000: [SCB QUEUE PUSH] expected_q push = de, size = 1
        518821055000: [DRV] tx_byte = 0d, rx_byte = 00
        519817095000: [MON] tx_byte = 00, rx_byte = de
        519817095000: [SCB PASS] expected = de, actual = de, q_size = 0
        519817095000: [SCB QUEUE PUSH] expected_q push = 0d, size = 1
        519862655000: [DRV] tx_byte = 9c, rx_byte = 00
        520858695000: [MON] tx_byte = 00, rx_byte = 0d
        520858695000: [SCB PASS] expected = 0d, actual = 0d, q_size = 0
        520858695000: [SCB QUEUE PUSH] expected_q push = 9c, size = 1
        520904255000: [DRV] tx_byte = 31, rx_byte = 00
        521900295000: [MON] tx_byte = 00, rx_byte = 9c
        521900295000: [SCB PASS] expected = 9c, actual = 9c, q_size = 0
        521900295000: [SCB QUEUE PUSH] expected_q push = 31, size = 1
        521945855000: [DRV] tx_byte = 2a, rx_byte = 00
        522941895000: [MON] tx_byte = 00, rx_byte = 31
        522941895000: [SCB PASS] expected = 31, actual = 31, q_size = 0
        522941895000: [SCB QUEUE PUSH] expected_q push = 2a, size = 1
        522987455000: [DRV] tx_byte = d4, rx_byte = 00
        523983495000: [MON] tx_byte = 00, rx_byte = 2a
        523983495000: [SCB PASS] expected = 2a, actual = 2a, q_size = 0
        523983495000: [SCB QUEUE PUSH] expected_q push = d4, size = 1
        524029055000: [DRV] tx_byte = 7a, rx_byte = 00
        525025095000: [MON] tx_byte = 00, rx_byte = d4
        525025095000: [SCB PASS] expected = d4, actual = d4, q_size = 0
        525025095000: [SCB QUEUE PUSH] expected_q push = 7a, size = 1
        525070655000: [DRV] tx_byte = 8c, rx_byte = 00
        526066695000: [MON] tx_byte = 00, rx_byte = 7a
        526066695000: [SCB PASS] expected = 7a, actual = 7a, q_size = 0
        526066695000: [SCB QUEUE PUSH] expected_q push = 8c, size = 1
        526112255000: [DRV] tx_byte = 05, rx_byte = 00
        527108295000: [MON] tx_byte = 00, rx_byte = 8c
        527108295000: [SCB PASS] expected = 8c, actual = 8c, q_size = 0
        527108295000: [SCB QUEUE PUSH] expected_q push = 05, size = 1
        527153855000: [DRV] tx_byte = 57, rx_byte = 00
        528149895000: [MON] tx_byte = 00, rx_byte = 05
        528149895000: [SCB PASS] expected = 05, actual = 05, q_size = 0
        528149895000: [SCB QUEUE PUSH] expected_q push = 57, size = 1
        528195455000: [DRV] tx_byte = 05, rx_byte = 00
        529191495000: [MON] tx_byte = 00, rx_byte = 57
        529191495000: [SCB PASS] expected = 57, actual = 57, q_size = 0
        529191495000: [SCB QUEUE PUSH] expected_q push = 05, size = 1
        529237055000: [DRV] tx_byte = b3, rx_byte = 00
        530233095000: [MON] tx_byte = 00, rx_byte = 05
        530233095000: [SCB PASS] expected = 05, actual = 05, q_size = 0
        530233095000: [SCB QUEUE PUSH] expected_q push = b3, size = 1
        530278655000: [DRV] tx_byte = 81, rx_byte = 00
        531274695000: [MON] tx_byte = 00, rx_byte = b3
        531274695000: [SCB PASS] expected = b3, actual = b3, q_size = 0
        531274695000: [SCB QUEUE PUSH] expected_q push = 81, size = 1
        531320255000: [DRV] tx_byte = b1, rx_byte = 00
        532316295000: [MON] tx_byte = 00, rx_byte = 81
        532316295000: [SCB PASS] expected = 81, actual = 81, q_size = 0
        532316295000: [SCB QUEUE PUSH] expected_q push = b1, size = 1
        532361855000: [DRV] tx_byte = ab, rx_byte = 00
        533357895000: [MON] tx_byte = 00, rx_byte = b1
        533357895000: [SCB PASS] expected = b1, actual = b1, q_size = 0
        533357895000: [SCB QUEUE PUSH] expected_q push = ab, size = 1
        533403455000: [DRV] tx_byte = 15, rx_byte = 00
        534399495000: [MON] tx_byte = 00, rx_byte = ab
        534399495000: [SCB PASS] expected = ab, actual = ab, q_size = 0
        534399495000: [SCB QUEUE PUSH] expected_q push = 15, size = 1
        534445055000: [DRV] tx_byte = 82, rx_byte = 00
        535441095000: [MON] tx_byte = 00, rx_byte = 15
        535441095000: [SCB PASS] expected = 15, actual = 15, q_size = 0
        535441095000: [SCB QUEUE PUSH] expected_q push = 82, size = 1
        535486655000: [DRV] tx_byte = 1e, rx_byte = 00
        536482695000: [MON] tx_byte = 00, rx_byte = 82
